parent_id,parent_term,child_id,child_term
36041,1-cell stage conceptus,16035,zona pellucida
36041,1-cell stage conceptus,16032,first polar body
36041,1-cell stage conceptus,16033,1-cell stage embryo
36041,1-cell stage conceptus,16034,second polar body
16118,1st branchial arch,16128,1st branchial arch mesenchyme
16118,1st branchial arch,16382,1st branchial arch mandibular component
16118,1st branchial arch,16127,1st branchial arch endoderm
16118,1st branchial arch,16394,1st branchial arch maxillary-mandibular groove
16118,1st branchial arch,16121,1st branchial membrane
16118,1st branchial arch,16119,1st branchial groove
16118,1st branchial arch,16126,1st branchial arch ectoderm
16118,1st branchial arch,16124,1st branchial pouch
16118,1st branchial arch,16388,1st branchial arch maxillary component
16382,1st branchial arch mandibular component,16384,1st branchial arch mandibular component endoderm
16382,1st branchial arch mandibular component,16383,1st branchial arch mandibular component ectoderm
16382,1st branchial arch mandibular component,16385,1st branchial arch mandibular component mesenchyme
16385,1st branchial arch mandibular component mesenchyme,16387,1st branchial arch mandibular component mesenchyme derived from neural crest
16385,1st branchial arch mandibular component mesenchyme,16386,1st branchial arch mandibular component mesenchyme derived from head mesoderm
16388,1st branchial arch maxillary component,16389,1st branchial arch maxillary component ectoderm
16388,1st branchial arch maxillary component,16391,1st branchial arch maxillary component mesenchyme
16388,1st branchial arch maxillary component,16390,1st branchial arch maxillary component endoderm
16391,1st branchial arch maxillary component mesenchyme,16393,1st branchial arch maxillary component mesenchyme derived from neural crest
16391,1st branchial arch maxillary component mesenchyme,16392,1st branchial arch maxillary component mesenchyme derived from head mesoderm
16394,1st branchial arch maxillary-mandibular groove,16395,1st branchial arch maxillary-mandibular groove ectoderm
16128,1st branchial arch mesenchyme,16130,1st branchial arch mesenchyme derived from head mesoderm
16128,1st branchial arch mesenchyme,16129,1st branchial arch mesenchyme derived from neural crest
16119,1st branchial groove,17241,1st branchial groove epithelium
16119,1st branchial groove,16120,1st branchial groove ectoderm
16121,1st branchial membrane,16123,1st branchial membrane endoderm
16121,1st branchial membrane,16122,1st branchial membrane ectoderm
