Parent Term	Parent Term Accession	Start Stage of Parent Term	End Stage of Parent Term	Child Term	Child term Accession	End Stage of Child Term	Start Stage of Child Term
1-cell stage conceptus	EMAPA:36041	TS01	TS01	zona pellucida	EMAPA:16035	TS04	TS01
1-cell stage conceptus	EMAPA:36041	TS01	TS01	first polar body	EMAPA:16032	TS01	TS01
1-cell stage conceptus	EMAPA:36041	TS01	TS01	1-cell stage embryo	EMAPA:16033	TS01	TS01
1-cell stage conceptus	EMAPA:36041	TS01	TS01	second polar body	EMAPA:16034	TS04	TS01
1st branchial arch	EMAPA:16118	TS12	TS19	1st branchial arch mesenchyme	EMAPA:16128	TS18	TS12
1st branchial arch	EMAPA:16118	TS12	TS19	1st branchial arch mandibular component	EMAPA:16382	TS18	TS14
1st branchial arch	EMAPA:16118	TS12	TS19	1st branchial arch endoderm	EMAPA:16127	TS19	TS12
1st branchial arch	EMAPA:16118	TS12	TS19	1st branchial arch maxillary-mandibular groove	EMAPA:16394	TS18	TS14
1st branchial arch	EMAPA:16118	TS12	TS19	1st branchial membrane	EMAPA:16121	TS16	TS12
1st branchial arch	EMAPA:16118	TS12	TS19	1st branchial groove	EMAPA:16119	TS19	TS12
1st branchial arch	EMAPA:16118	TS12	TS19	1st branchial arch ectoderm	EMAPA:16126	TS18	TS12
1st branchial arch	EMAPA:16118	TS12	TS19	1st branchial pouch	EMAPA:16124	TS19	TS12
1st branchial arch	EMAPA:16118	TS12	TS19	1st branchial arch maxillary component	EMAPA:16388	TS18	TS14
1st branchial arch mandibular component	EMAPA:16382	TS14	TS18	1st branchial arch mandibular component endoderm	EMAPA:16384	TS18	TS14
1st branchial arch mandibular component	EMAPA:16382	TS14	TS18	1st branchial arch mandibular component ectoderm	EMAPA:16383	TS18	TS14
1st branchial arch mandibular component	EMAPA:16382	TS14	TS18	1st branchial arch mandibular component mesenchyme	EMAPA:16385	TS18	TS14
1st branchial arch mandibular component mesenchyme	EMAPA:16385	TS14	TS18	1st branchial arch mandibular component mesenchyme derived from neural crest	EMAPA:16387	TS18	TS14
1st branchial arch mandibular component mesenchyme	EMAPA:16385	TS14	TS18	1st branchial arch mandibular component mesenchyme derived from head mesoderm	EMAPA:16386	TS18	TS14
1st branchial arch maxillary component	EMAPA:16388	TS14	TS18	1st branchial arch maxillary component ectoderm	EMAPA:16389	TS18	TS14
1st branchial arch maxillary component	EMAPA:16388	TS14	TS18	1st branchial arch maxillary component mesenchyme	EMAPA:16391	TS18	TS14
1st branchial arch maxillary component	EMAPA:16388	TS14	TS18	1st branchial arch maxillary component endoderm	EMAPA:16390	TS18	TS14
1st branchial arch maxillary component mesenchyme	EMAPA:16391	TS14	TS18	1st branchial arch maxillary component mesenchyme derived from neural crest	EMAPA:16393	TS18	TS14
1st branchial arch maxillary component mesenchyme	EMAPA:16391	TS14	TS18	1st branchial arch maxillary component mesenchyme derived from head mesoderm	EMAPA:16392	TS18	TS14
1st branchial arch maxillary-mandibular groove	EMAPA:16394	TS14	TS18	1st branchial arch maxillary-mandibular groove ectoderm	EMAPA:16395	TS18	TS14
1st branchial arch mesenchyme	EMAPA:16128	TS12	TS18	1st branchial arch mesenchyme derived from head mesoderm	EMAPA:16130	TS18	TS12
1st branchial arch mesenchyme	EMAPA:16128	TS12	TS18	1st branchial arch mesenchyme derived from neural crest	EMAPA:16129	TS18	TS12
1st branchial groove	EMAPA:16119	TS12	TS19	1st branchial groove epithelium	EMAPA:17241	TS19	TS19
1st branchial groove	EMAPA:16119	TS12	TS19	1st branchial groove ectoderm	EMAPA:16120	TS18	TS12
1st branchial membrane	EMAPA:16121	TS12	TS16	1st branchial membrane endoderm	EMAPA:16123	TS16	TS12
1st branchial membrane	EMAPA:16121	TS12	TS16	1st branchial membrane ectoderm	EMAPA:16122	TS16	TS12
1st branchial pouch	EMAPA:16124	TS12	TS19	1st branchial pouch endoderm	EMAPA:16125	TS19	TS12
2-cell stage conceptus	EMAPA:36042	TS02	TS02	second polar body	EMAPA:16034	TS04	TS01
2-cell stage conceptus	EMAPA:36042	TS02	TS02	zona pellucida	EMAPA:16035	TS04	TS01
