emage_id,assay_type,probe_id,name,strain,type,theilerstage,dpc
4,in situ,MGI:1340531,emage,,wholemount,11,7.5 dpc
5,in situ,MGI:1339597,emage,,wholemount,14,9.0 dpc
6,in situ,MGI:1334951,emage,Swiss Webster,wholemount,11,7.5 dpc
10,in situ,IMAGE:375186,emage,CD1,section,20,12.5 dpc
11,in situ,IMAGE:385724,emage,CD1,section,20,12.5 dpc
12,in situ,IMAGE:391203,emage,CD1,section,20,12.5 dpc
14,in situ,IMAGE:459226,emage,CD1,section,20,12.5 dpc
15,in situ,IMAGE:479758,emage,CD1,section,20,12.5 dpc
16,in situ,IMAGE:481151,emage,CD1,section,20,12.5 dpc
17,in situ,IMAGE:577138,emage,CD1,section,20,12.5 dpc
19,in situ,IMAGE:639535,emage,CD1,section,20,12.5 dpc
20,in situ,IMAGE:660295,emage,CD1,section,20,12.5 dpc
22,in situ,IMAGE:1225290,emage,CD1,section,20,12.5 dpc
23,in situ,IMAGE:733276,emage,CD1,section,20,12.5 dpc
24,in situ,IMAGE:331264,emage,CD1,section,20,12.5 dpc
61,in situ,MGI:1932905,emage,,wholemount,18,10.5 dpc
93,in situ,IMAGE:427564,emage,CD1,section,20,12.5 dpc
95,in situ,IMAGE:440600,emage,CD1,section,20,12.5 dpc
96,in situ,IMAGE:331671,emage,CD1,section,20,12.5 dpc
97,in situ,MGI:1289712,emage,CD1,wholemount,11,
116,in situ,MGI:1349601,emage,,wholemount,14,8.75 dpc
117,in situ,MGI:3033352,emage,,wholemount,9,6.75 dpc
118,in situ,MGI:1351443,emage,,wholemount,15,9.5 dpc
150,in situ,Alx3 probeA,emage,,wholemount,18,11.5 dpc
151,in situ,Alx4 cloneA,emage,,wholemount,18,11.5 dpc
152,in situ,MGI:2446515,emage,,wholemount,15,9.0 dpc
153,in situ,En1 cloneA,emage,,wholemount,15,
154,in situ,Fgf8 cloneA,emage,unspecified,wholemount,15,
155,in situ,Foxc1 cloneA,emage,,wholemount,15,9.0 dpc
156,in situ,Foxc2 cloneA,emage,unspecified,wholemount,15,9.0 dpc
157,in situ,MGI:17156,emage,,wholemount,15,9.0 dpc
158,in situ,Msx1 cloneA,emage,,wholemount,18,11.5 dpc
159,in situ,Pax1 cloneA,emage,,wholemount,19,11.5 dpc
160,in situ,MGI:1327804,emage,,wholemount,19,11.5 dpc
161,in situ,Sox10 probeA,emage,,wholemount,15,9.5 dpc
162,in situ,MGI:32571,emage,,wholemount,17,10.5 dpc
163,in situ,MGI:1333200,emage,,wholemount,19,11.5 dpc
164,in situ,MGI:1333201,emage,,wholemount,18,11.5 dpc
165,in situ,Twist1 cloneA,emage,,wholemount,17,10.5 dpc
190,in situ,MGI:1334951,emage,,section,8,6.25 dpc
193,in situ,MGI:2445989,emage,,section,9,6.5 dpc
204,in situ,MGI:14729,emage,,section,17,10.5 dpc
229,in situ,MGI:17265,emage,Swiss Webster,section,17,10.5 dpc
230,in situ,MGI:17265,emage,Swiss Webster,section,15,9.5 dpc
233,in situ,MGI:1345300,emage,,section,7,5.5 dpc
234,in situ,MGI:2154937,emage,,wholemount,9,Early streak Downs & Davies
235,in situ,MGI:2154937,emage,,wholemount,10,Late streak Downs & Davies
245,in situ,MGI:2445989,emage,C57BL/6,section,17,10.5 dpc
259,in situ,MGI:1276342,emage,,section,14,9 dpc
260,in situ,MGI:1276342,emage,,section,16,10 dpc
261,in situ,MGI:1276342,emage,,section,16,10 dpc
271,in situ,MGI:2149773,emage,,section,17,10.5 dpc
272,in situ,MGI:1197090,emage,,wholemount,17,10.5 dpc
273,in situ,MGI:1197090,emage,,wholemount,12,8.5 dpc
276,in situ,MGI:1345256,emage,,wholemount,12,8.5 dpc
281,in situ,MGI:2155348,emage,MF1,section,11,7.25 dpc
284,in situ,MGI:17265,emage,Swiss Webster,section,3,
297,in situ,MGI:2655269,emage,,wholemount,24,16 dpc
304,in situ,MGI:26073,emage,,section,14,16 Somite no.
305,in situ,MGI:26073,emage,,section,15,24 Somite no.
306,in situ,Bmpr1b probeA,emage,,section,14,16 Somite no.
307,in situ,Bmpr1b probeA,emage,,section,15,24 Somite no.
310,in situ,MGI:18808,emage,,section,14,18 Somite no.
311,in situ,MGI:18808,emage,,section,15,22 Somite no.
312,in situ,MGI:18808,emage,,section,16,
313,in situ,MGI:18808,emage,,section,11,
314,in situ,MGI:18808,emage,,wholemount,13,8.5 dpc
315,in situ,Bmp7 probeB,emage,unspecified,section,16,
316,in situ,Eya2 cloneA,emage,unspecified,section,15,9.5 dpc
318,in situ,MGI:29788,emage,,section,15,9.5 dpc
319,in situ,MGI:1315062,emage,,section,15,9.5 dpc
320,in situ,Sox2 probeA,emage,,section,14,18 Somite no.
321,in situ,Sox2 probeA,emage,,section,15,24 Somite no.
322,in situ,Sox2 probeA,emage,,section,15,9.5 dpc
323,in situ,Bmp2 cloneA,emage,,wholemount,11,
324,in situ,Foxc2 cloneB,emage,,wholemount,14,8.5 dpc
326,in situ,MGI:1334976,emage,,wholemount,11,8.0 dpc
331,in situ,MGI:2136849,emage,CD-1,wholemount,19,11.5 dpc
332,in situ,MGI:2136849,emage,CD-1,wholemount,20,12.5 dpc
333,in situ,MGI:2136849,emage,CD-1,section,20,12.5 dpc
334,in situ,MGI:2136849,emage,CD-1,section,21,13.5 dpc
335,in situ,MGI:2136849,emage,CD-1,section,24,16.5 dpc
344,in situ,MGI:2136848,emage,CD-1,wholemount,20,12.5 dpc
352,in situ,MGI:1340507,emage,,section,19,11.5 dpc
354,in situ,MGI:1340506,emage,,section,17,10.5 dpc
374,in situ,MGI:29788,emage,Swiss,section,16,9.75 dpc
384,in situ,MGI:1330552,emage,,section,20,12.0 dpc
404,in situ,MGI:1340456,emage,NMRI,section,23,15 dpc
405,in situ,MGI:1340456,emage,NMRI,section,25,17 dpc
406,in situ,MGI:1932963,emage,,section,17,10.5 dpc
407,in situ,MGI:1932963,emage,,section,17,10.5 dpc
408,in situ,MGI:1932963,emage,,section,20,12.5 dpc
409,in situ,MGI:12281,emage,129/Sv x CD1,wholemount,15,9.5 dpc
411,in situ,MGI:1314717,emage,(C57BL/6 x SJL) F1,wholemount,17,34 Somite no.
