emage_id,type,probe_id,source_id,specimen_id,stage_id
4,in situ,MGI:1340531,1,1,300
5,in situ,MGI:1339597,1,1,122
6,in situ,MGI:1334951,1,2,300
8,in situ,MGI:1932907,2,19,155
10,in situ,IMAGE:375186,1,109,1
11,in situ,IMAGE:385724,1,109,1
12,in situ,IMAGE:391203,1,109,1
14,in situ,IMAGE:459226,1,109,1
15,in situ,IMAGE:479758,1,109,1
16,in situ,IMAGE:481151,1,109,1
17,in situ,IMAGE:577138,1,109,1
19,in situ,IMAGE:639535,1,109,1
20,in situ,IMAGE:660295,1,109,1
22,in situ,IMAGE:1225290,1,109,1
23,in situ,IMAGE:733276,1,109,1
24,in situ,IMAGE:331264,1,109,1
38,in situ,MGI:21330,2,1,12651
40,in situ,MGI:1316840,2,2,24918
47,in situ,MGI:19210,2,1,155
48,in situ,MGI:1932908,2,19,155
49,in situ,MGI:23226,2,25,13739
57,in situ,MGI:1328382,2,1,12651
58,in situ,MGI:1930285,2,1,26686
59,in situ,MGI:1309443,2,131,25421
60,in situ,MGI:23226,2,1,300
61,in situ,MGI:1932905,1,1,199
62,in situ,MGI:1098114,2,1,25421
63,in situ,MGI:1277653,2,1,155
64,in situ,MGI:1345492,2,1,155
65,in situ,MGI:1298284,2,1,155
67,in situ,MGI:1328384,2,1,155
68,in situ,MGI:1298285,2,1,122
69,in situ,MGI:18239,2,1,444
70,in situ,MGI:1334951,2,1,155
71,in situ,MGI:1098117,2,131,25421
72,in situ,MGI:1334951,2,1,15156
73,in situ,En1_probeB,2,131,25421
74,in situ,MGI:1331401,2,1,155
75,in situ,MGI:20957,2,1,155
76,in situ,MGI:2155172,2,131,27554
77,in situ,MGI:2155172,2,131,25421
78,in situ,MGI:19210,2,2,165
79,in situ,MGI:1202168,2,1,155
80,in situ,MGI:1330041,2,1,300
81,in situ,MGI:1315062,2,133,444
82,in situ,MGI:1277656,2,134,155
83,in situ,MGI:1340522,2,19,155
84,in situ,MGI:1340536,2,1,300
85,in situ,MGI:1340538,2,1,300
86,in situ,MGI:1274779,2,1,300
87,in situ,MGI:23226,2,1,236
88,in situ,MGI:1334951,2,2,267
89,in situ,MGI:1338390,2,1,267
90,in situ,MGI:9330,2,134,2726
91,in situ,MGI:1331375,2,134,700
92,in situ,MGI:1331374,2,134,700
93,in situ,IMAGE:427564,1,109,1
94,in situ,MGI:2155172,2,131,110
95,in situ,IMAGE:440600,1,109,1
96,in situ,IMAGE:331671,1,109,1
97,in situ,MGI:1289712,1,25,110
98,in situ,MGI:1313350,2,17,155
99,in situ,MGI:1335284,2,17,4099
100,in situ,MGI:9304,2,1,2
101,in situ,MGI:23226,2,25,110
102,in situ,MGI:23226,2,1,221
103,in situ,MGI:1930285,2,1,333
104,in situ,MGI:2449092,2,1,444
105,in situ,MGI:23359,2,135,2
106,in situ,MGI:1277653,2,136,666
107,in situ,MGI:9331,2,134,775
108,in situ,MGI:14755,2,1,155
109,in situ,MGI:1345255,2,1,221
110,in situ,MGI:2449092,2,25,300
111,in situ,MGI:2449091,2,1,267
112,in situ,MGI:20736,2,1,300
113,in situ,MGI:3033352,2,1,444
114,in situ,MGI:32851,2,1,236
115,in situ,MGI:1349605,2,1,1685
116,in situ,MGI:1349601,1,1,1771
117,in situ,MGI:3033352,1,1,236
118,in situ,MGI:1351443,1,1,155
119,in situ,MGI:1330552,2,2,300
120,in situ,MGI:2152048,2,17,165
121,in situ,MGI:2152047,2,3,155
122,in situ,MGI:2152047,2,17,165
123,in situ,MGI:2152047,2,1,165
