id,name,accession
1,Mkl2,MGI:3050795
2,Smad2,MGI:108051
3,Smad3,MGI:1201674
4,Efna1,MGI:103236
5,Bmp5,MGI:88181
6,Bmp4,MGI:88180
7,Pax6,MGI:97490
8,Igf2,MGI:96434
9,Gsc,MGI:95841
10,Foxa2,MGI:1347476
11,Dlx5,MGI:101926
12,Pitx1,MGI:107374
13,Sulf2,MGI:1919293
14,Msx2,MGI:97169
15,Shh,MGI:98297
16,Trp63,MGI:1330810
17,Msx1,MGI:97168
18,Frem2,MGI:2444465
19,Zfp503,MGI:1353644
20,Pdgfa,MGI:97527
21,Jag2,MGI:1098270
22,Cux2,MGI:107321
23,Wnt9b,MGI:1197020
24,Efna5,MGI:107444
25,Fgf4,MGI:95518
26,Dlx3,MGI:94903
27,Dlx2,MGI:94902
28,Nog,MGI:104327
29,Tlx1,MGI:98769
30,Edn1,MGI:95283
31,Nav2,MGI:2183691
32,Fgf8,MGI:99604
33,Hand2,MGI:103580
34,Map3k5,MGI:1346876
35,Fgf15,MGI:1096383
36,Lhx8,MGI:1096343
37,Ndn,MGI:97290
38,Ran,MGI:1333112
39,Dusp9,MGI:2387107
40,En1,MGI:95389
41,En2,MGI:95390
42,Fzd6,MGI:108474
43,Cyp26a1,MGI:1096359
44,Sfrp2,MGI:108078
45,Zmiz1,MGI:3040693
46,Alx4,MGI:108359
47,Alx3,MGI:1277097
48,Cd44,MGI:88338
49,Alx1,MGI:104621
50,Foxc2,MGI:1347481
51,Figf,MGI:108037
52,Prrx2,MGI:98218
53,Barx1,MGI:103124
54,Tead3,MGI:109241
55,Bmp7,MGI:103302
56,Gdf11,MGI:1338027
57,Trp53inp2,MGI:1915978
58,Dact2,MGI:1920347
59,Csnk1d,MGI:1355272
60,Paxip1,MGI:1890430
61,Hnrnpab,MGI:1330294
62,Fam89b,MGI:106595
63,Rbp1,MGI:97876
64,Spry4,MGI:1345144
65,Cct3,MGI:104708
66,Cdca4,MGI:1919213
67,Robo1,MGI:1274781
68,Gpc1,MGI:1194891
69,Gpc3,MGI:104903
70,Gpc4,MGI:104902
71,Dkk4,MGI:2385299
72,Slc19a1,MGI:103182
73,Capn6,MGI:1100850
74,Eya4,MGI:1337104
75,Shox2,MGI:1201673
76,Foxd1,MGI:1347463
77,Dlx1as,MGI:1195983
78,Twist2,MGI:104685
79,Six1,MGI:102780
80,Pax9,MGI:97493
81,Tro,MGI:1928994
82,Tubb5,MGI:107812
83,Ybx1,MGI:99146
84,Mllt3,MGI:1917372
85,Gabpb1,MGI:95611
86,Kif11,MGI:1098231
87,Zfp275,MGI:1350985
88,Hdac8,MGI:1917565
89,Hdgfrp2,MGI:1194492
90,Obox1,MGI:1918718
91,Rfx4,MGI:1918387
92,Tcf7l2,MGI:1202879
93,Pou2f2,MGI:101897
94,Prox1,MGI:97772
95,Sp8,MGI:2443471
96,Ssbp2,MGI:1914220
97,Ptf1a,MGI:1328312
98,E2f1,MGI:101941
99,E2f2,MGI:1096341
100,Hmgcs1,MGI:107592
101,Hmgn2,MGI:96136
102,Hoxb7,MGI:96188
103,Mycl1,MGI:96799
104,Mxd3,MGI:104987
105,Smad1,MGI:109452
106,Pax8,MGI:97492
107,Sall3,MGI:109295
108,Ebf1,MGI:95275
109,Maged1,MGI:1930187
110,Kif13a,MGI:1098264
111,Gpc2,MGI:1919201
112,Sox9,MGI:98371
113,Atoh1,MGI:104654
114,Barhl1,MGI:1859288
115,Lmx1a,MGI:1888519
116,Nkx1-2,MGI:104806
117,Pou3f4,MGI:101894
118,Pou4f2,MGI:102524
119,Zeb2,MGI:1344407
120,Pou3f1,MGI:101896
121,Lhx2,MGI:96785
122,Hoxd4,MGI:96208
123,Mafb,MGI:104555
124,Sall4,MGI:2139360
125,Hoxc10,MGI:96192
126,Id3,MGI:96398
127,Mcm2,MGI:105380
128,Mcm3,MGI:101845
129,Hoxa7,MGI:96179
130,Hoxc5,MGI:96196
131,Hoxc6,MGI:96197
132,Irx3,MGI:1197522
133,Barhl2,MGI:1859314
134,Ascl1,MGI:96919
135,Lmo4,MGI:109360
136,Ezh2,MGI:107940
137,Zfp219,MGI:1917140
138,Hes3,MGI:104877
139,Hes5,MGI:104876
140,Heyl,MGI:1860511
141,Hoxb13,MGI:107730
142,Id4,MGI:99414
143,Isl1,MGI:101791
144,Meis3,MGI:108519
145,Nhlh2,MGI:97324
146,Nkx2-2,MGI:97347
147,Nr2f6,MGI:1352453
148,Nrarp,MGI:1914372
149,Olig2,MGI:1355331
150,Pax3,MGI:97487
151,Phox2b,MGI:1100882
152,Rarb,MGI:97857
153,Rbpj,MGI:96522
154,Rcor2,MGI:1859854
155,Tfdp2,MGI:107167
156,Isl2,MGI:109156
157,Hes1,MGI:104853
158,Pbx1,MGI:97495
159,Hoxa11,MGI:96172
160,Hoxa1,MGI:96170
161,Hoxb4,MGI:96185
162,Ing3,MGI:1919027
163,Elavl2,MGI:1100887
164,Foxc1,MGI:1347466
165,Zscan22,MGI:2443312
166,Hmgb3,MGI:1098219
167,Hoxd3,MGI:96207
168,Hsf4,MGI:1347058
169,Irf8,MGI:96395
170,Ifnar2,MGI:1098243
171,Ikbkg,MGI:1338074
172,Invs,MGI:1335082
173,Pdx1,MGI:102851
174,Irf2bp1,MGI:2442159
175,Irf4,MGI:1096873
176,Irf5,MGI:1350924
177,Irf7,MGI:1859212
178,Sox2,MGI:98364
179,Irf6,MGI:1859211
180,Insm2,MGI:1930787
181,IRX6,IRX6
182,Ing4,MGI:107307
183,Irx1,MGI:1197515
184,Hlf,MGI:96108
185,Hmg20b,MGI:1341190
186,Id2,MGI:96397
187,Hnrnpr,MGI:1891692
188,Zfp81,MGI:1890752
189,Irf9,MGI:107587
190,Ing5,MGI:1922816
191,Irf1,MGI:96590
192,Irf2,MGI:96591
193,Hesx1,MGI:96071
194,Hey2,MGI:1341884
195,Hic2,MGI:1929869
196,Zbtb48,MGI:2140248
197,Hmgb1,MGI:96113
198,Hmgn3,MGI:2138069
199,Hnf4a,MGI:109128
200,Hnf4g,MGI:1353604
201,Hoxb1,MGI:96182
202,Krr1,MGI:1289274
203,Hsbp1,MGI:1915446
204,Hsf1,MGI:96238
205,Hsf2,MGI:96239
206,Kat5,MGI:1932051
207,Htr5a,MGI:96283
208,Ighmbp2,MGI:99954
209,Irx2,MGI:1197526
210,Irx4,MGI:1355275
211,Nr2e1,MGI:1100526
212,Phf5a,MGI:2156864
213,Wwtr1,MGI:1917649
214,Depdc7,MGI:2139258
215,Bcl3,MGI:88140
216,Nfatc1,MGI:102469
217,Srebf2,MGI:107585
218,Tbx15,MGI:1277234
219,Irf3,MGI:1859179
220,Hes7,MGI:2135679
221,Zfp536,MGI:1926102
222,Runx1t1,MGI:104793
223,Kbtbd9,Kbtbd9
224,Scx,MGI:102934
225,Cdk4,MGI:88357
226,Ddx20,MGI:1858415
227,Etv5,MGI:1096867
228,Hivep2,MGI:1338076
229,Tbx4,MGI:102556
230,Tead2,MGI:104904
231,Btg1,MGI:88215
232,Pias1,MGI:1913125
233,Hmga2,MGI:101761
234,Carm1,MGI:1913208
235,Asap1,MGI:1342335
236,Hsp90ab1,MGI:96247
237,Ing2,MGI:1916510
238,Lmx1b,MGI:1100513
239,Strap,MGI:1329037
240,Tbx5,MGI:102541
241,Cdk9,MGI:1328368
242,Snai1,MGI:98330
243,Hoxd10,MGI:96202
244,Ncor2,MGI:1337080
245,Osr1,MGI:1344424
246,Gli1,MGI:95727
247,Tcf3,MGI:98510
248,Zfp521,MGI:95459
249,Zfp523,MGI:2687278
250,Taf1a,MGI:109578
251,Zfp93,MGI:107611
252,Zfp46,MGI:99192
253,Notch2,MGI:97364
254,Mkx,MGI:2687286
255,Srcap,MGI:2444036
256,Ccnh,MGI:1913921
257,Ccnk,MGI:1276106
258,Creb3l2,MGI:2442695
259,E2f4,MGI:103012
260,Jun,MGI:96646
261,Nupr1,MGI:1891834
262,Snip1,MGI:2156003
263,Sqstm1,MGI:107931
264,Med16,MGI:2158394
265,Med30,MGI:1917040
266,Tial1,MGI:107913
267,Tle2,MGI:104635
268,Tox,MGI:2181659
269,Trps1,MGI:1927616
270,Myod1,MGI:97275
271,Foxp1,MGI:1914004
272,Runx2,MGI:99829
273,Tsc22d1,MGI:109127
274,Cited1,MGI:108023
275,Hoxd12,MGI:96204
276,Ddb1,MGI:1202384
277,Aes,MGI:95806
278,Foxp4,MGI:1921373
279,Pnrc1,MGI:1917838
280,Zfp161,MGI:1195345
281,Zfp282,MGI:2141413
282,Zfp592,MGI:2443541
283,Zfp629,MGI:2444524
284,Cdx4,MGI:88362
285,Nr4a3,MGI:1352457
286,Csde1,MGI:92356
287,Dbp,MGI:94866
288,E2f6,MGI:1354159
289,Ilf3,MGI:1339973
290,Nmi,MGI:1928368
291,Rnf38,MGI:1920719
292,Taf1c,MGI:109576
293,Tle1,MGI:104636
294,Nfib,MGI:103188
295,Tfap2b,MGI:104672
296,Zfp512,MGI:1917345
297,Zfp60,MGI:99207
298,Asb4,MGI:1929751
299,Hoxc4,MGI:96195
300,Lhx9,MGI:1316721
301,Pbx2,MGI:1341793
302,Kank1,MGI:2147707
303,Sox6,MGI:98368
304,Sohlh2,MGI:1921684
305,Zfp710,MGI:1921747
306,Zfp790,MGI:1923431
307,Ankrd1,MGI:1097717
308,Ankrd2,MGI:1861447
309,Atf3,MGI:109384
310,Atf7,MGI:2443472
311,AW146020,MGI:2141656
312,Zxdc,MGI:1933108
313,Blzf1,MGI:1201607
314,Brip1,MGI:2442836
315,Klf6,MGI:1346318
316,Dmrt2,MGI:1330307
317,E2f7,MGI:1289147
318,Ebf2,MGI:894332
319,Enpp2,MGI:1321390
320,Fbxo24,MGI:1918426
321,Foxg1,MGI:1347464
322,Hes2,MGI:1098624
323,Men1,MGI:1316736
324,Mid1,MGI:1100537
325,Atxn3,MGI:1099442
326,Mkl1,MGI:2384495
327,Tfap2a,MGI:104671
328,Zic3,MGI:106676
329,Vax2,MGI:1346018
330,Mms19,MGI:1919449
331,Mnt,MGI:109150
332,Mpl,MGI:97076
333,Mrps31,MGI:1913153
334,Dpf1,MGI:1352748
335,Nkd2,MGI:1919543
336,Nop2,MGI:107891
337,Otx1,MGI:97450
338,Pdlim1,MGI:1860611
339,Rhox5,MGI:97538
340,Per2,MGI:1195265
341,Phf1,MGI:98647
342,Phf13,MGI:2446217
343,Phf19,MGI:1921266
344,Phf8,MGI:2444341
345,Phtf1,MGI:1332671
346,Pias3,MGI:1913126
347,Pou1f1,MGI:97588
348,Plagl2,MGI:1933165
349,Plrg1,MGI:1858197
350,Pml,MGI:104662
351,Polr3h,MGI:1926179
352,Polr3k,MGI:1914255
353,Polrmt,MGI:1915843
354,Pou2af1,MGI:105086
355,Pou5f1,MGI:101893
356,Mllt1,MGI:1927238
357,Lcorl,MGI:2651932
358,Lcor,MGI:2443930
359,Pqbp1,MGI:1859638
360,Prdm16,MGI:1917923
361,Prdm5,MGI:1918029
362,Preb,MGI:1355326
363,Prkar1a,MGI:104878
364,Prop1,MGI:109330
365,Rcor3,MGI:2441920
366,Sap30,MGI:1929129
367,Sp6,MGI:1932575
368,Sp7,MGI:2153568
369,Tle4,MGI:104633
370,Tsg101,MGI:106581
371,Tdp2,MGI:1860486
372,Uba3,MGI:1341217
373,Ubn1,MGI:1891307
374,Ubtf,MGI:98512
375,Ugp2,MGI:2183447
376,Usf1,MGI:99542
377,Med20,MGI:1929648
378,Utf1,MGI:1276125
379,Vav1,MGI:98923
380,Vdr,MGI:103076
381,Vhl,MGI:103223
382,Vsx1,MGI:1890816
383,Wasl,MGI:1920428
384,Mlxipl,MGI:1927999
385,Ppara,MGI:104740
386,Ppp1r16b,MGI:2151841
387,Ppp2r1a,MGI:1926334
388,Xbp1,MGI:98970
389,Xrcc3,MGI:1921585
390,Yaf2,MGI:1914307
391,Ybx2,MGI:1096372
392,Yeats4,MGI:1927224
393,Yy1,MGI:99150
394,Zbp1,MGI:1927449
395,Zbtb1,MGI:2442326
396,Zbtb24,MGI:3039618
397,Zbtb33,MGI:1927290
398,Zbtb37,MGI:2444467
399,Zbtb7a,MGI:1335091
400,Zbtb8,Zbtb8
401,Zbtb9,MGI:1918022
402,Zcchc8,MGI:1917900
403,Zdhhc1,MGI:1918046
404,Zdhhc13,MGI:1919227
405,Zdhhc15,MGI:1915336
406,Zdhhc16,MGI:1921418
407,Zdhhc21,MGI:1915518
408,Zdhhc5,MGI:1923573
409,Zdhhc6,MGI:1914230
410,Zfp1,MGI:99154
411,Zbtb17,MGI:107410
412,Zfp101,MGI:107547
413,Zfp105,MGI:1277119
414,Whsc2,MGI:1346098
415,Xab2,MGI:1914689
416,Zfp110,MGI:1890378
417,Zfp113,MGI:1929116
418,Zfp120,MGI:1345179
419,Zfp128,MGI:2389445
420,Zfp13,MGI:99159
421,Zfp131,MGI:1919715
422,Zfp143,MGI:1277969
423,Zfp146,MGI:1347092
424,Zfp148,MGI:1332234
425,Zfp189,MGI:2444707
426,Zfp191,MGI:1929704
427,Zfp192,MGI:1913815
428,Zfp2,MGI:99167
429,Zfp202,MGI:1933401
430,Zfp239,MGI:1306812
431,Zfp248,MGI:1919970
432,Zfp276,MGI:1888495
433,Zfp277,MGI:1890393
434,Zfp28,MGI:99175
435,Zfp322a,MGI:2442566
436,Gzf1,MGI:1921783
437,Zfp35,MGI:99179
438,Zfp354a,MGI:103172
439,Zfp354b,MGI:1351476
440,Zfp354c,MGI:1353621
441,Zfp36,MGI:99180
442,Zfp108,MGI:1891198
443,Zfp11,MGI:99156
444,Zfp385a,MGI:1352495
445,Zfp386,MGI:1930708
446,Zfp39,MGI:99183
447,Klf17,MGI:2181068
448,Zfp40,MGI:99185
449,Zfp41,MGI:99186
450,Zfp426,MGI:1920248
451,Zfp455,MGI:3040708
452,Zfp459,MGI:3040701
453,Zfp467,MGI:1916160
454,Zfp472,MGI:2385049
455,Zbtb6,MGI:2442998
456,Zfp51,MGI:99198
457,Zfp513,MGI:2141255
458,Zfp52,MGI:99199
459,Zfp526,MGI:2445181
460,Zfp53,MGI:99200
461,Zkscan6,MGI:1289293
