"id","type","strain","stage_id"
"1","wholemount",,"2"
"2","wholemount","Swiss Webster","300"
"3","section","unspecified","1"
"4","wholemount","unspecified","3"
"5","wholemount","CD-1","278"
"6","wholemount","C57BL/6 x CBA","199"
"7","wholemount","either: C57BL/6 or (129S7/SvEvBrd x C57BL/6)F1","165"
"8","wholemount","involves: 129S2/SvPas","700"
"9","wholemount","FVB","165"
"10","wholemount","involves: 101/HeH * C3H/HeH","25250"
"11","sectioned wholemount","involves: 101/HeH * C3H/HeH","25305"
"12","section","either: BALB/c or C57BL/10 or CD-1","155"
"13","wholemount","involves: 129S7/SvEvBrd * C57BL/6","155"
"14","sectioned wholemount","involves: C57BL/6 * CBA","3211"
"15","section","NMRI","4"
"16","sectioned wholemount","CD-1","155"
"17","section",,"1"
"18","wholemount","(Swiss Webster x C57BL/6)F1","700"
"19","wholemount","C57BL/6","155"
"20","wholemount","(C57BL/6 x DBA/2)F1","24551"
"21","wholemount","129/Sv x CD1","155"
"22","wholemount","involves: C57BL/6 * CBA","711"
"23","wholemount","either: (involves: 129S/SvEv * 129S1/Sv) or (involves: 129S1/Sv * C57BL/6)","155"
"24","wholemount","(C57BL/6 x SJL) F1","25389"
"25","wholemount","CD1","110"
"26","opt","CD-1","700"
"27","wholemount","C57BL/6 * CBA","433"
"28","wholemount","ICR","267"
"29","wholemount","NMRI","689"
"30","wholemount","involves: 129S1/Sv * 129X1/SvJ * ICR","521"
"31","section","C57BL/6 x DBA/2","25421"
"32","wholemount","Swiss","165"
"33","wholemount","involves: 129S1/Sv * 129X1/Sv * CD-1","25443"
"34","wholemount","BALB/c","402"
"35","wholemount","C57BL","165"
"36","wholemount","involves: C57BL/6 * DBA/2 * ICR","155"
"37","wholemount","either: CD-1 or Swiss","11782"
"38","wholemount","C57BL/6J","165"
"39","wholemount","involves: 101/H * C3H/HeH","199"
"40","section","Swiss","12909"
"41","wholemount","involves: 129S2/SvPas * C57BL/6","11782"
"42","wholemount","involves: 129S4/SvJae","165"
"43","wholemount","involves: 129S1/Sv * 129X1/SvJ * C57BL/6","24436"
"44","wholemount","FVB/NJ","700"
"45","wholemount","C57BL/6*CBA","165"
"46","wholemount","involves: C57BL/6*CBA","199"
"47","section","Swiss Webster","3211"
"48","wholemount","either: (129/Sv * C57BL/6) or (129/Sv * NMRI)","700"
"49","section","C57BL/6J","22163"
"50","wholemount","involves: fancier's dancing mouse","165"
"51","wholemount","involves: C57BL/6 * C","199"
"52","wholemount","OF1","155"
"53","wholemount","involves: 129P2/OlaHsd * MF1","165"
"54","section","OF1","221"
"55","wholemount","C3HeB/FeJ","165"
"56","wholemount","involves: C57BL/6J","2"
"57","wholemount","either: C57BL/6 or FVB or ICR","165"
"58","wholemount","involves: C57BL/6 * SJL","155"
"59","wholemount","Undefined (outbreed)","521"
"60","wholemount","involves: 129P2/OlaHsd","155"
"61","wholemount","CD-1 or Swiss Quackenbush","165"
"62","wholemount","(C57BL/6 x CBA)F1","165"
"63","sectioned wholemount","CD1","1"
"64","wholemount","either: C57BL/6 or (CBA/Ca x C57BL/10)F1","2"
"65","wholemount","involves: C57BR/cd * CD-1 * ICR","155"
"66","section","ICR","521"
"67","section","Swiss Webster or CD1","1"
"68","wholemount","involves: 129 * C57BL/6","155"
"69","wholemount","involves: 129P2/OlaHsd * C57BL/6","402"
"70","wholemount","Swiss Webster or CD1","155"
"71","wholemount","either: B6.129-Lbx2tm1Fchn or (involves: 129S1/Sv * 129X1/SvJ * C57BL/6)","521"
"72","wholemount","ICR x B6D2F1","155"
"73","wholemount","involves: B6D2","25857"
"74","wholemount","129X1/SvJ","165"
"75","wholemount","C3H","165"
"76","wholemount","involves: 129X1/SvJ * C57BL/6","155"
"77","wholemount","either: CD-1 or C57BL/6","25862"
"78","wholemount","129/Sv","666"
"79","section","Parkes x NIH","1"
"80","wholemount","involves: 129P2/OlaHsd * C57BL/6J","402"
"81","wholemount","B6D2F1","155"
"82","wholemount","involves: 101/Rl * C3H/Rl","25923"
"83","wholemount","involves: 129X1/SvJ * C57BL/6J","700"
"84","wholemount","involves: 129S1/Sv","402"
