"id","theilerstage","dpc"
"20055","3",
"26722","4","3.5 dpc"
"20277","6",
"20411","6","4.5 dpc"
"25047","7","5.0 dpc"
"3211","7","5.5 dpc"
"24997","7","egg cylinder"
"25250","7","pre-streak Downs & Davies"
"25125","8","5.5 dpc"
"4455","8","6.0 dpc"
"9764","8","6.25 dpc"
"2937","8","6.5 dpc"
"25305","8","pre-streak Downs & Davies"
"24918","9","6.25 dpc"
"267","9","6.5 dpc"
"24743","9","6.7 dpc"
"236","9","6.75 dpc"
"14629","9","Early streak Downs & Davies"
"25309","9","early-streak Downs & Davies"
"24572","9","ES (early streak) Downs & Davies"
"24923","9","ES Downs & Davies"
"13739","10",
"26505","10","6.5 dpc"
"25112","10","6.75 dpc"
"24545","10","7 dpc"
"15156","10","7.0 dpc"
"9875","10","7.25 dpc"
"389","10","7.5 dpc"
"28599","10","7.75 dpc"
"28665","10","8-8.5 dpc"
"14740","10","Late streak Downs & Davies"
"25258","10","late-streak Downs & Davies"
"24673","10","LS Downs & Davies"
"24924","10","Mid streak Downs & Davies"
"25254","10","mid-streak Downs & Davies"
"24479","10","midstreak Downs & Davies"
"24840","10","MS Downs & Davies"
"24899","10","MS/LS Downs & Davies"
"110","11",
"24823","11","7.0 dpc"
"19834","11","7.25 dpc"
"300","11","7.5 dpc"
"28322","11","7.5-7.75 dpc"
"24704","11","7.7 dpc"
"444","11","7.75 dpc"
"367","11","8.0 dpc"
"26923","11","E7.5 dpc"
"16952","11","Early bud Downs & Davies"
"25314","11","early head-fold Downs & Davies"
"24481","11","early headfold Downs & Davies"
"25312","11","early-bud Downs & Davies"
"655","11","EHF Downs & Davies"
"24764","11","HF Downs & Davies"
"26943","11","Late head-fold Downs & Davies"
"26932","11","late headfold Downs & Davies"
"25313","11","late-bud Downs & Davies"
"26022","11","LB Downs & Davies"
"24590","11","LHF Downs & Davies"
"24573","11","LS (late streak) Downs & Davies"
"24847","11","mid-HF Downs & Davies"
"27554","12",
"25310","12","0-4 Somite no."
"31228","12","0-6 Somite no."
"24465","12","10 Somite no."
"12539","12","2 Somite no."
"13406","12","3 Somite no."
"12651","12","4 Somite no."
"24617","12","5 Somite no."
"24719","12","5-10 Somite no."
"18059","12","6 Somite no."
"380","12","6-8 Somite no."
"4099","12","7 Somite no."
"26971","12","7.5 dpc"
"12889","12","7.75 dpc"
"11116","12","7.8 dpc"
"24510","12","8 dpc"
"24965","12","8 Somite no."
"689","12","8.0 dpc"
"24577","12","8.2 dpc"
"488","12","8.25 dpc"
"221","12","8.5 dpc"
"24896","12","8.7 dpc"
"1685","12","8.75 dpc"
"15159","12","8.8 dpc"
"333","12","9 Somite no."
"24999","12","LHF Downs & Davies"
"11979","13","12 Somite no."
"26556","13","13-14 Somite no."
"26979","13","8 dpc"
"24794","13","8-9 Somite no."
"12836","13","8.0 dpc"
"8325","13","8.5 dpc"
"2793","13","8.75 dpc"
"24957","13","9 Somite no."
"27153","13","9.0 dpc"
"27528","13","9.5 dpc"
"27147","13","e8.5 dpc"
"24910","14",
"26660","14","10 Somite no."
"25975","14","10.0 dpc"
"26605","14","10.5 dpc"
"24891","14","12-13 Somite no."
"26021","14","12-15 Somite no."
"502","14","14 Somite no."
"25857","14","14-16 Somite no."
"24906","14","14-18 Somite no."
"25579","14","15 dpc"
"26686","14","15 Somite no."
