Theirler Stage	Accession	Annotation	Data Source	Assay Type	Probe Accession	User Stage	Gene Symbol	Specimen Type	Specimen Strain
TS20	EMAGE:10	3D spatial annotation	emage	in situ	IMAGE:375186	12.5 dpc	Cdh11	section	CD1
TS16	EMAGE:100	wholemount spatial annotation	mgi	in situ	MGI:9304	9.5 dpc	Wnt1	wholemount	
TS15	EMAGE:1000	wholemount spatial annotation	mgi	in situ	MGI:2676487	25 Somite no.	Dbx1	wholemount	unspecified
TS23	EMAGE:10000	wholemount spatial annotation	eurexpress	in situ	T307	14.5 dpc	1110008P14Rik	section	NMRI
TS23	EMAGE:10001	wholemount spatial annotation	eurexpress	in situ	T51038	14.5 dpc	Slc35c2	section	NMRI
TS23	EMAGE:10002	wholemount spatial annotation	eurexpress	in situ	T303	14.5 dpc	Ccl8	section	NMRI
TS23	EMAGE:10003	wholemount spatial annotation	eurexpress	in situ	T294	14.5 dpc	Vgll4	section	NMRI
TS23	EMAGE:10004	wholemount spatial annotation	eurexpress	in situ	T300	14.5 dpc	Slamf9	section	NMRI
TS23	EMAGE:10005	wholemount spatial annotation	eurexpress	in situ	T56015	14.5 dpc	Slc7a3	section	NMRI
TS23	EMAGE:10006	wholemount spatial annotation	eurexpress	in situ	T1632	14.5 dpc	Smad2	section	NMRI
TS23	EMAGE:10007	wholemount spatial annotation	eurexpress	in situ	T1634	14.5 dpc	Lgals2	section	NMRI
TS23	EMAGE:10008	wholemount spatial annotation	eurexpress	in situ	T1633	14.5 dpc	Msrb3	section	NMRI
TS23	EMAGE:10009	wholemount spatial annotation	eurexpress	in situ	T51045	14.5 dpc	Slc8a1	section	C57BL/6
TS15	EMAGE:1001	wholemount spatial annotation	mgi	in situ	MGI:2676481	21 Somite no.	Emx2	wholemount	unspecified
TS23	EMAGE:10010	wholemount spatial annotation	eurexpress	in situ	T133	14.5 dpc	Slc39a11	section	C57BL/6
TS23	EMAGE:10011	wholemount spatial annotation	eurexpress	in situ	T171	14.5 dpc	Col17a1	section	C57BL/6
TS23	EMAGE:10012	wholemount spatial annotation	eurexpress	in situ	T108	14.5 dpc	Samd14	section	C57BL/6
TS23	EMAGE:10016	wholemount spatial annotation	eurexpress	in situ	T123	14.5 dpc	Dnalc4	section	C57BL/6
TS23	EMAGE:10017	wholemount spatial annotation	eurexpress	in situ	T118	14.5 dpc	P4htm	section	C57BL/6
TS23	EMAGE:10018	wholemount spatial annotation	eurexpress	in situ	T178	14.5 dpc	Med27	section	C57BL/6
TS23	EMAGE:10019	wholemount spatial annotation	eurexpress	in situ	T172	14.5 dpc	Nod1	section	C57BL/6
TS15	EMAGE:1002	wholemount spatial annotation	mgi	in situ	MGI:2676481	24 Somite no.	Emx2	wholemount	unspecified
TS23	EMAGE:10020	wholemount spatial annotation	eurexpress	in situ	T65	14.5 dpc	Bnc1	section	NMRI
TS23	EMAGE:10021	wholemount spatial annotation	eurexpress	in situ	T116	14.5 dpc	Ipo13	section	C57BL/6
TS23	EMAGE:10022	wholemount spatial annotation	eurexpress	in situ	T272	14.5 dpc	Rabac1	section	C57BL/6
TS23	EMAGE:10023	wholemount spatial annotation	eurexpress	in situ	T182	14.5 dpc	Luzp1	section	C57BL/6
TS23	EMAGE:10024	wholemount spatial annotation	eurexpress	in situ	T267	14.5 dpc	Mtx1	section	C57BL/6
TS23	EMAGE:10025	wholemount spatial annotation	eurexpress	in situ	T51026	14.5 dpc	Slc12a8	section	C57BL/6
TS23	EMAGE:10026	wholemount spatial annotation	eurexpress	in situ	T273	14.5 dpc	Sgcb	section	C57BL/6
TS23	EMAGE:10027	wholemount spatial annotation	eurexpress	in situ	T56009	14.5 dpc	Slc36a1	section	C57BL/6
TS23	EMAGE:10028	wholemount spatial annotation	eurexpress	in situ	T315	14.5 dpc	Tmem59	section	C57BL/6
TS23	EMAGE:10029	wholemount spatial annotation	eurexpress	in situ	T314	14.5 dpc	2210021J22Rik	section	C57BL/6
TS14	EMAGE:1003	wholemount spatial annotation	mgi	in situ	MGI:2676494	16 Somite no.	Fgf15	wholemount	unspecified
TS23	EMAGE:10030	wholemount spatial annotation	eurexpress	in situ	T311	14.5 dpc	Zfp414	section	C57BL/6
TS23	EMAGE:10031	wholemount spatial annotation	eurexpress	in situ	T313	14.5 dpc	1110012L19Rik	section	C57BL/6
TS23	EMAGE:10032	wholemount spatial annotation	eurexpress	in situ	T361	14.5 dpc	Arrdc1	section	C57BL/6
TS23	EMAGE:10033	wholemount spatial annotation	eurexpress	in situ	T371	14.5 dpc	Rpa1	section	C57BL/6
TS23	EMAGE:10034	wholemount spatial annotation	eurexpress	in situ	T362	14.5 dpc	Arhgap8	section	C57BL/6
TS23	EMAGE:10013	wholemount spatial annotation	eurexpress	in situ	T50132	14.5 dpc	Atp6v1e1	section	C57BL/6
TS23	EMAGE:10014	wholemount spatial annotation	eurexpress	in situ	T142	14.5 dpc	Drg2	section	NMRI
TS23	EMAGE:10015	wholemount spatial annotation	eurexpress	in situ	T50718	14.5 dpc	Nphs1	section	NMRI
TS23	EMAGE:10039	wholemount spatial annotation	eurexpress	in situ	T373	14.5 dpc	Trpm7	section	C57BL/6
TS20	EMAGE:1004	3D spatial annotation	mgi	in situ	MGI:8589431	12.5 dpc	Gsx1	section	
TS23	EMAGE:10040	wholemount spatial annotation	eurexpress	in situ	T376	14.5 dpc	Klk6	section	C57BL/6
TS23	EMAGE:10041	wholemount spatial annotation	eurexpress	in situ	T380	14.5 dpc	C230052I12Rik	section	C57BL/6
TS23	EMAGE:10042	wholemount spatial annotation	eurexpress	in situ	T387	14.5 dpc	Bpifb5	section	C57BL/6
TS23	EMAGE:10043	wholemount spatial annotation	eurexpress	in situ	T384	14.5 dpc	Tpx2	section	C57BL/6
TS23	EMAGE:10044	wholemount spatial annotation	eurexpress	in situ	T389	14.5 dpc	Stk24	section	C57BL/6
TS23	EMAGE:10045	wholemount spatial annotation	eurexpress	in situ	T56010	14.5 dpc	Slc39a5	section	C57BL/6
TS23	EMAGE:10046	wholemount spatial annotation	eurexpress	in situ	T51043	14.5 dpc	Slc6a8	section	C57BL/6
TS23	EMAGE:10047	wholemount spatial annotation	eurexpress	in situ	T56011	14.5 dpc	Slc5a6	section	C57BL/6
TS23	EMAGE:10048	wholemount spatial annotation	eurexpress	in situ	T390	14.5 dpc	Hcfc1	section	C57BL/6
TS23	EMAGE:10049	wholemount spatial annotation	eurexpress	in situ	T409	14.5 dpc	Rnf214	section	C57BL/6
TS14	EMAGE:1005	wholemount spatial annotation	mgi	in situ	MGI:2676495	18 Somite no.	Fgfr2	wholemount	unspecified
TS23	EMAGE:10050	wholemount spatial annotation	eurexpress	in situ	T51034	14.5 dpc	Slc27a3	section	C57BL/6
TS23	EMAGE:10051	wholemount spatial annotation	eurexpress	in situ	T391	14.5 dpc	Ubap1	section	C57BL/6
TS23	EMAGE:10052	wholemount spatial annotation	eurexpress	in situ	T401	14.5 dpc	Ppih	section	C57BL/6
TS23	EMAGE:10053	wholemount spatial annotation	eurexpress	in situ	T398	14.5 dpc	Mrps6	section	C57BL/6
TS23	EMAGE:10054	wholemount spatial annotation	eurexpress	in situ	T400	14.5 dpc	Ddx18	section	C57BL/6
TS23	EMAGE:10055	wholemount spatial annotation	eurexpress	in situ	T405	14.5 dpc	Cdca5	section	C57BL/6
TS23	EMAGE:10056	wholemount spatial annotation	eurexpress	in situ	T404	14.5 dpc	Inppl1	section	C57BL/6
TS23	EMAGE:10057	wholemount spatial annotation	eurexpress	in situ	T407	14.5 dpc	Cenpa	section	C57BL/6
TS23	EMAGE:10035	wholemount spatial annotation	eurexpress	in situ	T363	14.5 dpc	Ndufa2	section	C57BL/6
TS23	EMAGE:10036	wholemount spatial annotation	eurexpress	in situ	T374	14.5 dpc	1600012H06Rik	section	C57BL/6
TS23	EMAGE:10037	wholemount spatial annotation	eurexpress	in situ	T378	14.5 dpc	Dap	section	C57BL/6
TS23	EMAGE:10038	wholemount spatial annotation	eurexpress	in situ	T377	14.5 dpc	Nae1	section	C57BL/6
TS23	EMAGE:10060	wholemount spatial annotation	eurexpress	in situ	T1567	14.5 dpc	Tmem125	section	C57BL/6
TS23	EMAGE:10061	wholemount spatial annotation	eurexpress	in situ	T1521	14.5 dpc	Igf2bp1	section	C57BL/6
TS23	EMAGE:10062	wholemount spatial annotation	eurexpress	in situ	T1520	14.5 dpc	6430598A04Rik	section	C57BL/6
