Accession	Title	Gene Symbol	Stage	User Stage	EMAGE Submission Accession	Authors
PMID:2392150	'Formins': proteins deduced from the alternative transcripts of the limb deformity gene.	Fmn1	TS15	25 Somite no.	EMAGE:412	Woychik RP, Maas RL, Zeller R, Vogt TF, Leder P
PMID:2392150	'Formins': proteins deduced from the alternative transcripts of the limb deformity gene.	Fmn1	TS15	28 Somite no.	EMAGE:413	Woychik RP, Maas RL, Zeller R, Vogt TF, Leder P
PMID:2392150	'Formins': proteins deduced from the alternative transcripts of the limb deformity gene.	Fmn1	TS17	34 Somite no.	EMAGE:411	Woychik RP, Maas RL, Zeller R, Vogt TF, Leder P
PMID:2392150	'Formins': proteins deduced from the alternative transcripts of the limb deformity gene.	Fmn1	TS17	35 Somite no.	EMAGE:410	Woychik RP, Maas RL, Zeller R, Vogt TF, Leder P
PMID:2190533	3T3-L1 adipocyte glucose transporter (HepG2 class): sequence and regulation of protein and mRNA expression by insulin, differentiation, and glucose starvation.	Slc2a1	TS12	8.5 dpc	EMAGE:955	Reed BC, Shade D, Alperovich F, Vang M
PMID:9165122	5-HT2B receptor-mediated serotonin morphogenetic functions in mouse cranial neural crest and myocardiac cells.	Htr2b	TS12	8 dpc	EMAGE:3440	Choi DS, Ward SJ, Messaddeq N, Launay JM, Maroteaux L
PMID:9165122	5-HT2B receptor-mediated serotonin morphogenetic functions in mouse cranial neural crest and myocardiac cells.	Htr2b	TS14	9 dpc	EMAGE:3441	Choi DS, Ward SJ, Messaddeq N, Launay JM, Maroteaux L
PMID:9165122	5-HT2B receptor-mediated serotonin morphogenetic functions in mouse cranial neural crest and myocardiac cells.	Htr2b	TS15	9.5 dpc	EMAGE:3442	Choi DS, Ward SJ, Messaddeq N, Launay JM, Maroteaux L
PMID:99146889	A Drosophila doublesex-related gene, terra, is involved in somitogenesis in vertebrates.	Dmrt2	TS15	9.5 dpc	EMAGE:169	Meng A, Moore B, Tang H, Yuan B, Lin S
PMID:8114702	A Mef2 gene that generates a muscle-specific isoform via alternative mRNA splicing.	Mef2d	TS18	10.5-11.0 dpc	EMAGE:4547	Martin JF, Miano JM, Hustad CM, Copeland NG, Jenkins NA, Olson EN
PMID:10529425	oto is a homeotic locus with a role in anteroposterior development that is partially redundant with Lim1.	Hand2	TS15	9.5 dpc	EMAGE:586	Zoltewicz JS, Plummer NW, Lin MI, Peterson AS
PMID:1972777	A POU-domain transcription factor in early stem cells and germ cells of the mammalian embryo.	Pou5f1	TS09	6.75 dpc	EMAGE:117	Rosner MH, Vigano MA, Ozato K, Timmons PM, Poirier F, Rigby PW, Staudt LM
PMID:1972777	A POU-domain transcription factor in early stem cells and germ cells of the mammalian embryo.	Pou5f1	TS11	7.75 dpc	EMAGE:113	Rosner MH, Vigano MA, Ozato K, Timmons PM, Poirier F, Rigby PW, Staudt LM
PMID:17216607	A Sall4 mutant mouse model useful for studying the role of Sall4 in early embryonic development and organogenesis.	Sall4	TS15	9.5 dpc	EMAGE:5023	Warren M, Wang W, Spiden S, Chen-Murchie D, Tannahill D, Steel KP, Bradley A
PMID:20059953	A Systems Approach Reveals that the Myogenesis Genome Network Is Regulated by the Transcriptional Repressor RP58	Zfp275	TS17	10.5dpc	EMAGE:26150	Shigetoshi Yokoyama, Yoshiaki Ito, Hiroe Ueno-Kudoh, Hirohito Shimizu, Kenta Uchibe, Sonia Albini, Kazuhiko Mitsuoka, Shigeru Miyaki, Minako Kiso, Akane Nagai, Tomohiro Hikata, Tadahiro Osada, Noritsugu Fukuda, Satoshi Yamashita, Daisuke Harada, Valeria Mezzano, Masataka Kasai, Pier Lorenzo Puri, Yoshihide Hayashizaki, Haruo Okado, Megumi Hashimoto, Hiroshi Asahara
PMID:20059953	A Systems Approach Reveals that the Myogenesis Genome Network Is Regulated by the Transcriptional Repressor RP58	Hdac8	TS17	10.5dpc	EMAGE:26151	Shigetoshi Yokoyama, Yoshiaki Ito, Hiroe Ueno-Kudoh, Hirohito Shimizu, Kenta Uchibe, Sonia Albini, Kazuhiko Mitsuoka, Shigeru Miyaki, Minako Kiso, Akane Nagai, Tomohiro Hikata, Tadahiro Osada, Noritsugu Fukuda, Satoshi Yamashita, Daisuke Harada, Valeria Mezzano, Masataka Kasai, Pier Lorenzo Puri, Yoshihide Hayashizaki, Haruo Okado, Megumi Hashimoto, Hiroshi Asahara
PMID:20059953	A Systems Approach Reveals that the Myogenesis Genome Network Is Regulated by the Transcriptional Repressor RP58	Hdgfrp2	TS17	10.5dpc	EMAGE:26152	Shigetoshi Yokoyama, Yoshiaki Ito, Hiroe Ueno-Kudoh, Hirohito Shimizu, Kenta Uchibe, Sonia Albini, Kazuhiko Mitsuoka, Shigeru Miyaki, Minako Kiso, Akane Nagai, Tomohiro Hikata, Tadahiro Osada, Noritsugu Fukuda, Satoshi Yamashita, Daisuke Harada, Valeria Mezzano, Masataka Kasai, Pier Lorenzo Puri, Yoshihide Hayashizaki, Haruo Okado, Megumi Hashimoto, Hiroshi Asahara
PMID:20059953	A Systems Approach Reveals that the Myogenesis Genome Network Is Regulated by the Transcriptional Repressor RP58	Obox1	TS17	10.5dpc	EMAGE:26153	Shigetoshi Yokoyama, Yoshiaki Ito, Hiroe Ueno-Kudoh, Hirohito Shimizu, Kenta Uchibe, Sonia Albini, Kazuhiko Mitsuoka, Shigeru Miyaki, Minako Kiso, Akane Nagai, Tomohiro Hikata, Tadahiro Osada, Noritsugu Fukuda, Satoshi Yamashita, Daisuke Harada, Valeria Mezzano, Masataka Kasai, Pier Lorenzo Puri, Yoshihide Hayashizaki, Haruo Okado, Megumi Hashimoto, Hiroshi Asahara
PMID:20059953	A Systems Approach Reveals that the Myogenesis Genome Network Is Regulated by the Transcriptional Repressor RP58	Rfx4	TS17	10.5dpc	EMAGE:26154	Shigetoshi Yokoyama, Yoshiaki Ito, Hiroe Ueno-Kudoh, Hirohito Shimizu, Kenta Uchibe, Sonia Albini, Kazuhiko Mitsuoka, Shigeru Miyaki, Minako Kiso, Akane Nagai, Tomohiro Hikata, Tadahiro Osada, Noritsugu Fukuda, Satoshi Yamashita, Daisuke Harada, Valeria Mezzano, Masataka Kasai, Pier Lorenzo Puri, Yoshihide Hayashizaki, Haruo Okado, Megumi Hashimoto, Hiroshi Asahara
PMID:20059953	A Systems Approach Reveals that the Myogenesis Genome Network Is Regulated by the Transcriptional Repressor RP58	Tcf7l2	TS17	10.5dpc	EMAGE:26155	Shigetoshi Yokoyama, Yoshiaki Ito, Hiroe Ueno-Kudoh, Hirohito Shimizu, Kenta Uchibe, Sonia Albini, Kazuhiko Mitsuoka, Shigeru Miyaki, Minako Kiso, Akane Nagai, Tomohiro Hikata, Tadahiro Osada, Noritsugu Fukuda, Satoshi Yamashita, Daisuke Harada, Valeria Mezzano, Masataka Kasai, Pier Lorenzo Puri, Yoshihide Hayashizaki, Haruo Okado, Megumi Hashimoto, Hiroshi Asahara
PMID:20059953	A Systems Approach Reveals that the Myogenesis Genome Network Is Regulated by the Transcriptional Repressor RP58	Pou2f2	TS17	10.5dpc	EMAGE:26156	Shigetoshi Yokoyama, Yoshiaki Ito, Hiroe Ueno-Kudoh, Hirohito Shimizu, Kenta Uchibe, Sonia Albini, Kazuhiko Mitsuoka, Shigeru Miyaki, Minako Kiso, Akane Nagai, Tomohiro Hikata, Tadahiro Osada, Noritsugu Fukuda, Satoshi Yamashita, Daisuke Harada, Valeria Mezzano, Masataka Kasai, Pier Lorenzo Puri, Yoshihide Hayashizaki, Haruo Okado, Megumi Hashimoto, Hiroshi Asahara
PMID:20059953	A Systems Approach Reveals that the Myogenesis Genome Network Is Regulated by the Transcriptional Repressor RP58	Prox1	TS17	10.5dpc	EMAGE:26157	Shigetoshi Yokoyama, Yoshiaki Ito, Hiroe Ueno-Kudoh, Hirohito Shimizu, Kenta Uchibe, Sonia Albini, Kazuhiko Mitsuoka, Shigeru Miyaki, Minako Kiso, Akane Nagai, Tomohiro Hikata, Tadahiro Osada, Noritsugu Fukuda, Satoshi Yamashita, Daisuke Harada, Valeria Mezzano, Masataka Kasai, Pier Lorenzo Puri, Yoshihide Hayashizaki, Haruo Okado, Megumi Hashimoto, Hiroshi Asahara
PMID:20059953	A Systems Approach Reveals that the Myogenesis Genome Network Is Regulated by the Transcriptional Repressor RP58	Sp8	TS17	10.5dpc	EMAGE:26158	Shigetoshi Yokoyama, Yoshiaki Ito, Hiroe Ueno-Kudoh, Hirohito Shimizu, Kenta Uchibe, Sonia Albini, Kazuhiko Mitsuoka, Shigeru Miyaki, Minako Kiso, Akane Nagai, Tomohiro Hikata, Tadahiro Osada, Noritsugu Fukuda, Satoshi Yamashita, Daisuke Harada, Valeria Mezzano, Masataka Kasai, Pier Lorenzo Puri, Yoshihide Hayashizaki, Haruo Okado, Megumi Hashimoto, Hiroshi Asahara
PMID:20059953	A Systems Approach Reveals that the Myogenesis Genome Network Is Regulated by the Transcriptional Repressor RP58	Ssbp2	TS17	10.5dpc	EMAGE:26159	Shigetoshi Yokoyama, Yoshiaki Ito, Hiroe Ueno-Kudoh, Hirohito Shimizu, Kenta Uchibe, Sonia Albini, Kazuhiko Mitsuoka, Shigeru Miyaki, Minako Kiso, Akane Nagai, Tomohiro Hikata, Tadahiro Osada, Noritsugu Fukuda, Satoshi Yamashita, Daisuke Harada, Valeria Mezzano, Masataka Kasai, Pier Lorenzo Puri, Yoshihide Hayashizaki, Haruo Okado, Megumi Hashimoto, Hiroshi Asahara
PMID:20059953	A Systems Approach Reveals that the Myogenesis Genome Network Is Regulated by the Transcriptional Repressor RP58	Smad3	TS17	10.5dpc	EMAGE:26160	Shigetoshi Yokoyama, Yoshiaki Ito, Hiroe Ueno-Kudoh, Hirohito Shimizu, Kenta Uchibe, Sonia Albini, Kazuhiko Mitsuoka, Shigeru Miyaki, Minako Kiso, Akane Nagai, Tomohiro Hikata, Tadahiro Osada, Noritsugu Fukuda, Satoshi Yamashita, Daisuke Harada, Valeria Mezzano, Masataka Kasai, Pier Lorenzo Puri, Yoshihide Hayashizaki, Haruo Okado, Megumi Hashimoto, Hiroshi Asahara
PMID:10227293	p63 is a p53 homologue required for limb and epidermal morphogenesis.	Trp63	TS18	10.5 dpc	EMAGE:5185	Mills AA, Zheng B, Wang XJ, Vogel H, Roop DR, Bradley A
PMID:20059953	A Systems Approach Reveals that the Myogenesis Genome Network Is Regulated by the Transcriptional Repressor RP58	E2f1	TS17	10.5dpc	EMAGE:26162	Shigetoshi Yokoyama, Yoshiaki Ito, Hiroe Ueno-Kudoh, Hirohito Shimizu, Kenta Uchibe, Sonia Albini, Kazuhiko Mitsuoka, Shigeru Miyaki, Minako Kiso, Akane Nagai, Tomohiro Hikata, Tadahiro Osada, Noritsugu Fukuda, Satoshi Yamashita, Daisuke Harada, Valeria Mezzano, Masataka Kasai, Pier Lorenzo Puri, Yoshihide Hayashizaki, Haruo Okado, Megumi Hashimoto, Hiroshi Asahara
